counter,file_name,strategy,inbound_time,inbound,outbound_time,outbound
262,gw76294.json,Chat2,2023-05-06 14:24:34,"Attn, Pls,
This is Western Union money transfer office, we have transferred
$10,000.00 USD to you since 28/04/2023 and waited for you to pick it
up, but we did not hear form you.
As matter of fact, we are still trying to reach out to you to transfer
another payment of $10,000.00 USD for you to pick it up from any
Western Union money transfer office Closer to you, And then you get
back to me so that i will send another
$10,000.00 USD to you today or tomorrow morning.
You can track the first payment of $10,000.00 with this tracking
number login to (MTCN):1565791381
Tracking link: https: // www. westernunion.com/global-
 service/track-transfer
you will see the details of the first transfer payment.
I will be expecting your reply immediately you have received this
message, you will be receiving $10,000.00 USD every day till you final
receive the sum of $7.5
Million USD only from Western Union Money Transfer office,
Best Regards Mrs. Barka Asad
Western Union Money Transfer Management, (
owesternunion217@gmail.com
)
",2023-05-06 14:24:39,"Dear Western Union Money Transfer,
I am sorry but I have not made any transactions with your company and I have not received any money from you. I believe this message is a scam and I will not be providing any personal information or responding to any further messages.
Thank you for bringing this to my attention.
Best wishes,
German
"
263,gw76294.json,Chat2,2023-05-06 14:51:53,"WELCOME TO WESTERN UNION URGENT MONEY TRANSFER FROM OFFICE OF
WEST UNION MONEY TRANSFER. Welcome to WESTERN UNION® Send Money
Worldwide http://www.westernunion.com
Attention
Thank you for your email reply with your full details.
I sent you the first payment this morning and you will receive $10,000.00
daily until the total of $7.5 million is paid in full. We've already
transferred the first $10,000 but it was still outstanding when you paid
your file transfer reactivation fee at the official price of just $120
 Here is the information about the $10,000 of your first payment and the
attachment below follows the screenshot;
MTCN: 1565791381
Sender's name: Shahrini Binti Mahamed
Amount: $10,000 USD I want you to follow
https://www.westernunion.com/global-service/tracktransfersuccessful
let's see if the money is there MTCN 1565791381
If you are currently paying your transfer file reactivation fee of only
$120, the above payment is pending. Send the $120 via WESTERN UNION OR
MONEY GRAM TRANSFER
Your first $10,000 will be released for pickup at one of our many WESTERN
UNION locations in your current location. congratulations in advance
We encourage you to hurry to prevent payment information from being
disabled for security reasons and to avoid disruption of your online
payment information. We are here to serve you better.
I am waiting for your urgent reply with proof of payment like mtcn and
sender name.
sincerely,
Mrs. Baraka Asad
From the Ministry of Finance
",2023-05-06 15:24:45,"Dear Mrs. Baraka Asad,
I am sorry, but I am not sure what you are referring to. I did not request any money transfer from Western Union, nor did I receive any payment from anyone named Shahrini Binti Mahamed. I believe this email may have been sent to me in error. Please let me know if there is anything else I can assist you with.
Best wishes,
German
"
264,gw76294.json,Chat2,2023-05-06 15:49:44,"Hello dear Beneficiary
COMPENSATION FUNDS PAYMENT ORDER
This is to inform you that, we have been working towards the eradication of
fraudsters and scam Artists in Africa with the help of the Organization of
African Unity (OAU), the International Monetary Fund (IMF) and FBI. We have
been able to track down so many of this scam artist in various parts of
African countries and Europe, which includes (Nigeria, United Kingdom,
Spain, Ghana, Cameroon and Senegal) and they are all in Government custody
now, they will appear at International Criminal Court (ICC) Hague
(Netherlands) soon for Criminal/Fraud Justice.
During the course of our investigation, we have been able to recover so
much money from these scam artists. The United Nations Anti-Crime
Commission and the International Monetary Fund (IMF) have ordered that the
money recovered from the Scammers to be shared among 100 Lucky people
around the World for compensation. This Email/Letter is been directed to
you because your number.  address  and country name.  was found in one of
the scammer Artists file and computer hard-disk while the investigation,
maybe you have been scammed. You are therefore being compensated with the
sum of U$7.500,000.00 (US$) (Seven Million Five Hundred Thousand United
State Dollars).We've already sent the first $10,000 but it was still
outstanding when you paid your file transfer reactivation fee at the
official price of just $120 dollar
If you are currently paying your transfer file reactivation fee of only
$120, the above payment is pending.
Your first $10,000 will be released for pickup at one of our many Western
union locations in your current location. congratulations in advance I
await your full details on where to send your first daily withdrawal of
$10,000 today.
Send the fee$120 using Gift Card like,
Steam Wallet::
Google play::
Nordstrom::
Amazon gifts card
The moment i receive the payment of $120, then your first pay daily will
take place immediately to your country and nothing will stop that. So
please confirm me your  full details right away.
Thank you and am waiting for your next reply.
Mrs Baraka Asad
",2023-05-06 16:24:22,"Dear Mrs. Baraka Asad,
I am sorry to inform you that I am not interested in your offer. I do not believe in receiving money through unsolicited emails, especially when it involves sending money through gift cards. I am also aware of the existence of scams and fraudulent activities, and I do not want to be involved in any of them. 
Please do not contact me again regarding this matter.
Thank you.
Best wishes,
German
"
265,gx45514.json,Chat1,2023-04-09 02:16:42,"This is Mr Brian T. Moynihanthe am contacting you regarding your ATM
CARD OF $3 USD Please confirm to me You have to mail me back
with your full info to enable me confirm the process.your full info to
enable me confirm the process  Bank of America ( mrbrian6543@gmail.com)
Your Full Name:
Your Home address where the ATM CARD will be delivered:
Your Phone Number:
Your Nearest Airport:
Your Country
Thanks.
REGARDS
Best Regards
Brian T, turyahabwejohn1962@gmail.com, mrbrian6543@gmail.com
",2023-04-09 02:16:44,"Hello Brian T,
Thank you for reaching out to me regarding my ATM card. Can you please provide me with more information about the process and what I need to do to confirm it? Also, can you please clarify which Bank of America you are referring to? 
Thank you.
Best wishes,
Gary
"
266,gx45514.json,Chat1,2023-04-09 03:22:59,"You ATM MasterCard OF $30.million USD have be Register I will send you the
DHL Tracking number of your package with the photos of your ATM card you
have to send the DHL delivery  The DHL =5hrs fee is $250 so how can you
send it to Bitcoin or Western Union or bank transfer or gift cards so that
I will send you the DHL tracking number
Thanks.
REGARDS
Best Regards
",2023-04-09 04:12:14,"Hello, thank you for reaching out to me. Can you please provide more information about the ATM card and the reason for the DHL delivery? Also, I am not comfortable sending any payment through Bitcoin, Western Union, bank transfer, or gift cards. Is there any other payment method available? Thank you.
Best wishes,
Gary
"
267,gx45514.json,Chat1,2023-04-09 04:20:36,"Ones you send this payment to gift cards so that I will send you the DHL
tracking send me your address
",2023-04-09 05:12:13,"Hello, thank you for your message. Can you please provide me with more information about the gift cards and why they are necessary for the DHL tracking? Also, I prefer not to share my address at this time. Can you please provide me with an alternative method for receiving the tracking information? Thank you.
Best wishes,
Gary
"
268,hb70511.json,Chat2,2023-04-09 02:16:11,"Attn: Beneficiary,
We have concluded to affect your payment today through Money Gram
$6daily until the $1 USD is completely transferred to you.
Through Mrs. Kelly-Ann Davey. So contact Money Gram Agent: Mr. Terry
James E-mail: moneygramservice28@gmail.com and Tell him to give you
the REFERENCE Number, sender name and question/ answer to pick up the
$6,000.00 immediately.
NOTE: This payment has been instructed by the Ministry Of Finance and
you must undergo the due process once you get in contact with Money
Gram Office to enable them authenticate the legitimacy of your funds
and again reconfirm your current info such as; Name. Address. Phone
number.
The IMF commission who set up this payment programmer is now waiting
for confirmation so hasten up and give the agent a call to process
your payment.
Kelly-Ann Davey, office21144@gmail.com, moneygramservice28@gmail.com
IMF Fund Delivery.
",2023-04-09 02:16:13,"Dear Sir/Madam,
I am sorry, but I am not sure what this email is in reference to. Could you please provide more information about the payment and the reason for it? I cannot provide any personal information or contact any agents without knowing more about the situation.
Thank you for your understanding.
Best wishes,
Christine
"
269,hb70511.json,Chat2,2023-04-09 05:35:35,"Read our email messages again to understand it all as it explained
everything. Thanks.
",2023-04-09 06:12:22,"Dear Sir/Madam,
I have read your email messages again to try and understand the information provided. However, I am still unclear on some of the details. Could you please provide more specific information or clarify any points that may be confusing? 
Thank you.
Best wishes,
Christine
"
270,hb70511.json,Chat2,2023-04-09 13:39:49,"Resend the first message if you read it. I want to confirm if you read
it. Thanks.
",2023-04-09 14:12:15,"Dear sender,
I'm sorry, but I'm not sure which message you are referring to. Could you please resend it so I can confirm if I have read it or not?
Thank you.
Best wishes,
Christine
"
271,hb70511.json,Chat2,2023-04-09 15:31:47,"Good luck.
",2023-04-09 16:12:11,"Thank you.
Best wishes,
Christine
"
272,hd42945.json,Classifier,2023-04-26 18:25:46,"Attention Beneficiary
 I am Brent Paul. Douglas, a senior officer at John F. Kennedy International Airport (JFK) New York here in the USA. I'm contacting you regarding an abandoned diplomatic consignment box and the x-ray scan report box revealed some US dollar bill in it which could be approximately $12.5Million dollars and the official paper of the box indicates your contact details. 
To confirm you as the authentic beneficiary and also for security Purposes, do send me your full information for cross-checking of your details with the information stated in the office.
YOUR FULL NAME, YOUR HOME ADDRESS, OCCUPATION, GENDER, YOUR HOME/MOBILE TEL NUMBER AND NEAREST AIRPORT CLOSE TO YOU.
For your information, the box was abandoned by the diplomat who was on transit to your city because he was not able to pay the (JFK) clearance fee of $3,250 dollars. I have taken it upon myself to contact you personally about this abandoned box so that we can transact this as a deal and share the total money 70% for you and 30% for me. As soon as I get the requested details from you for verification. I will pay the clearance fee and make arrangements for the box to be delivered to you which can be concluded within 4-6 hours after confirmation is made and upon your acceptance and willingness to co-operate. All communication must be held extremely confidential to ensure a successful delivery. Kindly click reply and get your correct and valid details to me as soon as you get this email.
I will text you after my confirmation.
Sincerely
Brent P. Douglas
",2023-04-26 18:25:48,"That sounds like a opportunity. How long it takes to get my benefits?
Best wishes,
Aurora
"
273,hg14246.json,Chat2,2023-04-26 18:26:17,"Attention Funds Beneficiary,
Be informed that the below information will only enable us to make due
confirmation that you are the beneficiary of the funds to ensure a
normal process for you to receive the total sum of $47.5 Million
Dollars through ATM Master card or Cash consignment box in your home
address with immediate proceed 
as soon as you reconfirm below
information,
1) Your full Name.
2) Contact Address
3) Phone/mobile No #.
4) Age.
5) Occupation.
I am waiting for your reply,
Mr.Kenneth Yawson
",2023-04-26 18:26:25,"Dear Yawson,
Thank you for your email. Before I can provide you with any personal information, I need to know more about the funds you are referring to. Can you please provide me with more details about the source of the funds and how I am connected to them? 
I look forward to hearing back from you.
Best wishes,
Barbara
"
274,hg14246.json,Chat2,2023-04-27 13:46:36,"Barbara,
I have received your message and this funds is your inheritance
payment from United Nation.
This funds will be release to you through Official Cheque and you will
receive the funds by diplomatic agent.
Regard,
Mr. James
",2023-04-27 16:12:16,"Dear James,
Thank you for your message. However, I am confused as I have not been informed of any payment from the United Nations. Can you please provide me with more information about this payment and how it is related to me?
Best wishes,
Barbara
"
275,hg14246.json,Chat2,2023-04-28 09:38:22,"Ms.Barbara,
You don't have to be confused in this transaction because the United
Nation have approved you the beneficiary of this funds and you will
receive it through our Swift courier service to your home doorstep.
Please forward the below information to avoid any mistake in this transaction.
1) Your full Name.
2) Contact Address
3) Phone/mobile No #.
4) Age.
5) Occupation.
I am waiting for your reply,
Mr. James Escobedo
",2023-04-28 10:12:52,"Dear Mr. Escobedo,
Thank you for your email. However, I am confused as to what funds you are referring to. I have not been informed of any funds being approved for me by the United Nations. Can you please provide me with more information about this matter?
Best wishes,
Barbara
"
276,hg14246.json,Chat2,2023-04-29 13:29:19,"Ms.Barbara,
I have received your message and my duty is to ensure a smooth
delivery of your funds official Cheque to your home doorstep.
The FBI with International Monetary Fund have approved your funds
release and you have nothing to worry about since the funds is legit.
I will inform you of the delivery procedure as soon as you show
concern to receive the funds.
Regard,
James Escobedo
Swift Courier Delivery Company
",2023-04-29 15:12:17,"Dear James Escobedo,
Thank you for your message. I am interested in receiving my funds and would like to know more about the delivery procedure. Please provide me with the necessary information and steps I need to take to ensure a smooth delivery.
Thank you.
Best wishes,
Barbara
"
277,hg14246.json,Chat2,2023-04-29 15:12:17,"Dear James Escobedo,
Thank you for your message. I am interested in receiving my funds and would like to know more about the delivery procedure. Please provide me with the necessary information and steps I need to take to ensure a smooth delivery.
Thank you.
Best wishes,
Barbara
",2023-05-01 12:13:11,"Dear Sir/Madam,
Thank you for your message. I am interested in receiving my official cheque, but I would like to know more about the delivery fee and why it is required. Can you please provide me with more information about this? Also, I would like to know more about the bank account you have provided and why I should send the money there. 
Thank you for your time and I look forward to hearing back from you.
Best wishes,
Barbara
"
278,hg14246.json,Chat2,2023-05-02 10:32:05,"Ms.Barbara,
Barbara, Its a registration delivery fee because without this payment
your delivery online tracking code will not appear and the bank
account information belongs to me.
The attachment file is my identification for you to be assured that I
will deliver your funds official Cheque immediately you have send the
money to my personal bank account.
Bank Name..........Valley First Credit Union
Bank Address........P.O. Box 1411 Modesto, California 95353
Beneficiary Name...........James R Escobedo
Beneficiary Address.......2145 Sharon Way Modesto California  95350
Routing No.............321173522
Checking No..........78680000268349
I am waiting for your reply,
Mr. James Esc
",2023-05-02 12:24:21,"Dear Mr. James Esc,
I am sorry, but I am not sure I understand your message. Could you please provide more information about what delivery fee you are referring to and why it is necessary? Also, I am not comfortable sending money to a personal bank account. Can you please provide more information about the official cheque and why it is necessary to send money to your personal bank account in order to receive it?
Thank you for your time and clarification.
Best wishes,
Barbara
"
279,hg14246.json,Chat2,2023-05-03 07:59:29,"Ms.Barbara,
Don't be afraid in this transaction, the delivery registration is
necessary to insure that your parcel is on online with Swift delivery
company.
I am waiting to delivery your parcel as soon as you send $150.
Mr. James
",2023-05-03 08:12:23,"Dear Mr. James,
Thank you for your message. However, I am not sure what parcel you are referring to. Can you please provide me with more information about the parcel and its contents? 
Also, I would appreciate it if you could provide me with more details about the Swift delivery company and how they are involved in this matter.
Thank you.
Best wishes,
Barbara
"
280,hg14246.json,Chat2,2023-05-04 12:55:19,"Ms.Barbara,
The Swift delivery company bass in United Kingdom and the FBI
Authority is working with this delivery company to insure smooth
delivery of your funds official cheque to your home doorstep.
I will need your first and last name to enable us to confirm your
personal files to forward the official cheque to you.
I hope you will not delay to send your full name and address.
Regard,
Mr. James
",2023-05-04 13:12:40,"Dear Mr. James,
Thank you for your email. However, I am not sure what funds you are referring to and why the FBI would be involved in delivering them. Can you please provide more information about this matter?
Best wishes,
Barbara
"
281,hg14246.json,Chat2,2023-05-06 17:13:01,"Ms.Barbara,
Are you once a victim of fraud, for this reason the FBI is paying you
this 47.5 Million Euro through official cheque and you will receive it
from Swift Delivery company to your home address.
This is my explanation to your question and I hope you understand me very clear.
Please let me know when you will send the delivery registration fee
for us to proceed.
Regard,
Mr. James Esco
",2023-05-06 17:24:26,"Dear Mr. James Esco,
I am sorry, but I have not been a victim of fraud and I find it hard to believe that the FBI would pay me a million euros through an official cheque. This sounds like a scam to me and I will not be sending any delivery fee. Please do not contact me again.
Best wishes,
Barbara
"
282,hg14246.json,Chat2,2023-05-06 17:45:29,"This is not a scam and I will ask you to confirm the official cheque
from your bank to know if this transaction is real or not.
Mr. James Esco
",2023-05-06 18:24:14,"Dear Mr. James Esco,
Thank you for your email. I appreciate your assurance that this is not a scam. However, I would like to request more information about the official cheque and how I can confirm its authenticity with my bank. Can you please provide me with more details?
Thank you.
Best wishes,
Barbara
"
283,hl06437.json,Classifier,2023-04-13 14:12:13,"  Greetings to you!
I am Mrs. Marry Derick. from Atlanta USA, my decision to contact you
is because I have been recently diagnosed with Lungs Cancer and the
doctor said I have less than 6 months to live, since this sudden news
was announced to me, I have been reflecting over my life in the past,
is painful that after over 26 years of peaceful marriage with my late
Husband Mr. Biden Derick , we lost the only child that would have
inherited our numerous wealth.In the past, I have made reasonable
donations to the victims of Earthquake in Haiti and recently to the
same victims in Japan and Thailand, now that my health is gradually
deteriorating, I cannot continue to do all these by myself any more, I
strongly desire to reach out to the poor and needy people, but I would
prefer to continue this with the assistance of a kind person.
I want you to answer the following questions:
1. Are you a God fearing person? 2. If I donate $15.5M (Fifteen
Million five Hundred Thousand United States Dollars) to you, will you
be able to utilize it wisely to achieve my heart desire of supporting
poor people around you? 3. Will you open a charity foundation in the
name of my late husband and me?
Would you be able to be help me set up a motherless baby’s home in my
memorial when I am gone, then keep 25% of the money for your effort.
Please reply me directly as soon as possible:
Hope to hear from you soon.
Yours sincerely,
Marry Derick   
",2023-04-13 14:12:16,"I am really sorry to hear that and I think I can help with this situation.
Please just tell me what I can do for you.
Best wishes,
Miguel
"
284,hl06437.json,Classifier,2023-04-13 17:26:41,"My Dear Miguel, 
 Thanks for your quick response to my message. 
 I will like to know your country of residence, though myself and my husband has  no particular choice of country our primary concern is to help the needy no matter where he or she resides, in the light of the above, I would request to have your full details, example, your ID  be it national ID or national drivers licensee 
 Secondly full assurance from you that you are going to set up a charity/motherless babies home in your area of residence to take care of mostly the needy, because this is the wish of my late husband and I want someone who will carry it out to the later. 
 I want you to know that my health conditions is very bad and as such this project needs a very quick attention, so we must hurry up the process so that I can sign all documents for the transfer of all the money to you before I pass on. 
 Let it be known to you that once we agree on this, there are some other properties which I will hand over to you apart from the money.  I have two buildings here in Atlanta Georgia  and two Toyota Trucks, which I think will go a long way in helping you if taking to your country of residence. 
 As it stands now, I do not go out, my doctor comes to the house for my treatment, and while I wait unto my God for the day He will call me to His Glory. And finally, let me know if you can be able to raise like $1800 or there about to give to the lawyer for his initial take off for his legal works, as I will like him to be answerable to you from the beginning, do not fear as I am making available some funds for you as soon as the documents are completed, I will explain further on this as we go on. And lastly as soon as the agreement is completed I will give you the email address of our attorney so you can connect with him. 
 Yours sincerely, Marry Derick 
 Sent: Thursday, April 13, 2023 at 3:12 PM From: ""Miguel"" <hl06437@liammacs.email> To: marryderick@mail.com Subject: Re: Greetings to you! 
I am really sorry to hear that and I think I can help with this situation. 
Please just tell me what I can do for you.
Best wishes, 
Miguel
",2023-04-13 18:12:21,"I have read what you wrote and I just want to be sure the risks.
Best wishes,
Miguel
"
285,hl06437.json,Classifier,2023-04-13 18:12:21,"I have read what you wrote and I just want to be sure the risks.
Best wishes,
Miguel
",2023-04-13 18:12:23,"I am really sorry to hear that and I think I can help with this situation.
Please just tell me what I can do for you.
Best wishes,
Miguel
"
286,hl06437.json,Classifier,2023-04-14 16:29:34,"My Dear Miguel, 
Thanks for your response to my message. 
I will over and over again let you know that theres no risk whatsoever associated with this my dealings with you. Myself and my husband were never involved in any form of criminality/fraud in our life nor were we ever involved in any form of drug dealing. When all these are concluded you will know us better upon the reception our bank will accord you when all has been handed over to you. 
Secondly, if its about the $1800 that i told you send to the lawyer, do not entertain any fear as you will send him the money through bank transfer, my only fear is how fast can you do this, as it will be nice if i witness this things. According to the lawyer, this process should not take more a week before the court issues letter of administration on your name. 
So be confident as there are no risk involved. 
Lastly, please do forward to me your means of IdentificatioN (ID) and your full address. 
Hope to hear from you soon. 
Yours sincerely, 
Marry Derick 
 Sent: Thursday, April 13, 2023 at 7:12 PM From: ""Miguel"" <hl06437@liammacs.email> To: marryderick@mail.com Subject: Re: Greetings to you!/ PLEASE GET BACK TO ME ASAP 
I have read what you wrote and I just want to be sure the risks.
Best wishes, 
Miguel
",2023-04-14 18:24:36,"I am really keen to cooperate with you. But is there any potential risks that could effect your company and me?
Best wishes,
Miguel
"
287,hl06437.json,Classifier,2023-04-14 18:24:36,"I am really keen to cooperate with you. But is there any potential risks that could effect your company and me?
Best wishes,
Miguel
",2023-04-14 18:24:38,"I am looking forward to this opportunity, though I want to fully know the potential risks and your plan.
Best wishes,
Miguel
"
288,hl06437.json,Classifier,2023-04-17 14:41:36,"My dear Miguel, 
 Thanks for your email message. I will like to let you know that I do not have all the time to write you daily because of my health condition, I am critically down, about two days ago, I was on life support and couldn’t attend to your message. Please I have told you that money in question is the life earnings of myself and that of my late husband, but because we have no child that’s why am looking for someone like you to inherit our fortune. Since I have given you that opportunity, try and use of it and fast too. 
 I have given my bank instructions on what to do, though verbally, until its documentations gets to them, they will do nothing . Please contact the lawyer as soon as possible for him to start the process before anything happens to me. I want this things to happen very fast because I do not want the lawyer to handle my buildings because he will charge me more, that’s why I want to hand the documents of my building directly to you, so if you want change of ownership, you can do it with your preferred attorney. 
 I may not have this chance to write in details anymore, or even write at all. There is no risk involved whatsoever. 
 Attached hereunder is the picture of myself in oxygen support , bellow is the contact of my lawyer Barrister J. Williams Email:  barristerwilliams200@consultant.com 
 Hope to hear from you soon. 
 Yours sincerely, 
 Marry Derick 
 Sent: Friday, April 14, 2023 at 7:24 PM From: ""Miguel"" <hl06437@liammacs.email> To: marryderick@mail.com Subject: Re: Greetings to you!/ PLEASE GET BACK TO ME ASAP 
I am really keen to cooperate with you. But is there any potential risks that could effect your company and me?
Best wishes, 
Miguel
",2023-04-17 15:45:59,"That sounds not really well, but I think I can do something helpful.
Best wishes,
Miguel
"
289,ho16970.json,Chat1,2023-04-26 16:13:12,"You are receiving this message from JFK airport custom department, we
write to remind you about your consignment box and your ATM Debit Card
which was abandoned by a delivery agent from Atlas Delivery Service.
He abandoned your consignment box and your ATM Debit card in our
office because of his inability to pay $50 for your custom Clearance
paper.
Please kindly reconfirm your info as bellow to claim your consignment
box and your ATM Debit card ok
Full Name:----------
Home Address:----------
Your country:----------
Your phone number:----------
A copy of your Identity
:----------
Name of your International airport:----------
Our airport agent will bring your consignment box and your ATM Debit
card to you after the reconfirmation of your info.
Note, 
you will also require to pay the custom clearance fee which is $50 ok.
Stephen Williams
Senior Customs Officer
luggagedepartment79@gmail.com
",2023-04-26 16:13:19,"Hello, thank you for reaching out to me regarding my box and ATM Debit Card. Can you please provide me with more information about the delivery agent from Atlas Delivery Service? How did they obtain my box and ATM Debit Card? Also, can you confirm the custom clearance fee that I will need to pay? Thank you.
Best wishes,
Stacey
"
290,ho16970.json,Chat1,2023-04-26 16:51:33,"Hello Mr. Stacey,
I don't have any info about the delivery agent that let your
consignment box here with us. I hope you read my first message very
well?
In my first message i mentioned that you will have to pay Custom
clearance fee of $50, you can buy iTunes card of $50 and then send the
picture of the card to me ok.
Our delivery agent will bring your consignment box and your ATM Debit
card to you immediately after your payment ok
Stephen Williams
Senior Customs Officer
luggagedepartment79@gmail.com
",2023-04-26 18:24:47,"Hello Mr. Williams,
Thank you for getting back to me. I did read your first message carefully. I just wanted to confirm that I understood everything correctly. So, I need to pay a custom clearance fee and then send you a picture of the card before the delivery agent can bring my box and ATM debit card to me, right? Can you please tell me how much the custom clearance fee is?
Best wishes,
Stacey
"
291,ho16970.json,Chat1,2023-04-26 19:37:54,"Hello Mr. Stacey,
The custom clearance fee is just $50, you can buy iTunes card and send
me the picture so that our delivery agent will deliver the consignment
box and ATM Debit card to you ok.
Stephen Williams
Senior Customs Officer
luggagedepartment79@gmail.com
",2023-04-26 20:24:44,"Hello Mr. Williams,
Thank you for your response. Can you please provide me with more information about the custom clearance fee? How much is it and how can I pay it? Also, can you confirm the delivery address and estimated delivery date for the box and ATM Debit card?
Best wishes,
Stacey
"
292,hq85456.json,Chat2,2023-05-02 14:13:14,"  GoodMorning and how are you doing today? It's a pleasure to write you this email . I have something
very important to discuss with you regarding a recent developement. Kindly get back
to me as soon as possible so I can expasiate more details on the subject matter in regards to this
conversation.
Thank you for your attention. I'll be looking forward to reading from you.
Regards
Gladys Dosu.   
",2023-05-02 14:13:20,"Dear Gladys,
Thank you for reaching out to me. I am doing well, thank you for asking. I am interested in hearing more about the important matter you wish to discuss. Please provide me with more details so that I can better understand the subject matter. 
Looking forward to hearing from you soon.
Best wishes,
Barbara
"
293,hq85456.json,Chat2,2023-05-04 23:24:24,"Greetings and thank you for your email response it was read and well noted,
this email and conversation is in regards
to your delayed transaction this happened as a result of incompetent staff
and unauthorized government officials trying
to handle such a huge transaction, a lot has happened during the years
while trying to secure access to your funds
you lost trust money and friends even family members,
i want to use this medium to apologies for all the troubles you have gone
through all this years, your funds has been in
Central bank of Ghana (Bank Of Ghana) for a very long time now after
various banks and officials tried to deliver your
funds to you through various platform and means but failed, with all the
failed attempts to get you funds and how much you
must have invested in trying to get your funds you must be skeptical
conducting such transaction by now but i want to
assure you that your funds will be delivered to you through my proposed
means of execution,
Seven months ago your funds was brought to EcoBank Haatso-Atomic Road
Branch by Economic and Organised Crime,(Eoco) head
office after conclusion of their investigation on your funds, your funds
with a worth sum amount of $36,093,263.83 USD has
accumulated an interest amount of $1,000,500.56 usd during this period of
seven months we didn't contact you because we were
doing all inside jobs to make sure this time around there won't be any
further delay, what we have to do now is to audit the
account on which your funds have be in with your personal and complete
current details once that is done an online account
will be activated for you to wire your funds and kindly specify if you need
an ATM card and the card type you prefer
Thank you once again for your time and attention. Lastly, attach a copy of
any valid Identification card i will be waiting to
read from you soon have a pleasant day ahead.
Personal Details
Title:
Surname:
First Name:
Other Name:
Occupation:
Gender:
Date Of Birth:
Nationality:
Marital Status:
Place Of Birth:
Spouse's Surname
Residential Address:
Tel N°:
(specify Town, City, Country)
for possible delivery purpose
Postal Address:
for possible delivery purpose
Form Of Identification:
Id N°:
Issue Date:
Expiry Date:
Sincerely,
Ms Gladys Dosu
Branch Manager
Ecobank Atomic Rd
Accra Ghana.
",2023-05-05 00:12:16,"Dear Ms. Gladys Dosu,
Thank you for your email. I am not sure what you are referring to as I have not been expecting any funds from Ghana or any other country. I am also concerned about the lack of a proper signature or identification in your email. 
Please provide me with more information about this matter, including any relevant documentation or proof of the funds you are referring to. I cannot provide any personal details or financial information until I have verified the legitimacy of this situation.
Thank you for your understanding.
Best wishes,
Barbara
"
294,hr89230.json,Chat2,2023-04-28 16:25:22,"  From: JOSEPH SCOT <>
Sent: Friday, 28 April 2023, 
Subject: Dear Friend, YOUR URGENT RESPONSE IS NEEDED.
Hello My Dear Friend,
Special greetings to you. How are you and members of your family? I hope this finds you all well.
I am Mr. Joseph Scott, the Senior Operations Manager, Bank of America and I am contacting you based on my capacity as the officer in charge in respect of the will left in your name by late Mr. Andersen, whose demise occurred on the 26th April 2021. He was a customer in my bank (Bank Of America) and he (late Mr. Andersen) deposited the sum of US$5M in my bank in the year 2013 and i have the photocopies of his fund's documents and will send it to you via email attachment to apply to my bank as the next of kin to the deceased person.
Late Mr. Andersen,  lived in Scotland. Just like I had feared, my efforts to trace his family members were unsuccessful since there was inadequate or rather, no information left by him about his family members. For two years (from 2021 till now). I have invested both time and money in my quest to trace his family tree but all my efforts have been futile.
My resolving to engage this measure to secure the notice from my bank in June 2023 that they will be effecting confiscation action on his account if there is non-appearance of a beneficiary before the end of June 2023. As a matter of fact, banking policy governing suspended accounts empowers the bank to confiscate his funds and remit it as residual to the government deposit account after 5 to 10 years as unclaimed or owner-less funds.
You may or may not be related to Mr. Andersen. However, that is my least concern at the moment. I have contacted you because you share the same last name with him and my intention is to present you to the bank as the bona fide beneficiary to his account after procuring and obtaining due legal documentation in the Courts.
You may be wondering how I would be able to fortify and consummate this deal but make no mistake; I have not insinuated that achieving this objective will be easy and simple. But all I can assure you is that with a proper and careful handling that we will come out successful.
Prior to sending you this email I have planned how best to execute this transaction and trust me, you can count on my proficiency. Let me remind you that this transaction will be conducted under legal procedural (LAW) to preclude us from infringement. Therefore, no atom of Risks or Consequences, legal or otherwise shall be met in the process of executing this matter hence our legal rights and protection shall be preserved prior and after receiving the fund.
In respect to the sharing, I have resolved a mutual sharing of 40% for you while 50% for me and the remaining 10% will be an unforeseen expenses that may occur during the funds processing / transfer. However this will be engraved in an agreement that both of us will sign to protect our interest, individually.
Please, if you have read, understood and are willing to cooperate with me to consummate this transaction please kindly let me know so that I will send you the photo copies of the funds documents.
You are hereby advised to provide me your information's such as:
*Int'l Passport or Drivers License for proper identification
*Full Name:
*Official address:
*Telephone number:
*Age declaration
*Occupation
*Bank Account to receive this US$5M
Contact me on my direct email address for further clarification: 
scotjoseph595@gmail.com
Looking forward to your swift response.
Regards,
Mr. Joseph Scot    
",2023-04-28 16:25:29,"Dear Mr. Joseph Scott,
Thank you for your email. I am sorry to hear about the demise of Mr. Andersen and the difficulties you have faced in tracing his family members. However, I am not related to Mr. Andersen and I am not sure how you came to contact me. 
Furthermore, I am not comfortable sharing my personal information such as my passport or driver's license with someone I do not know. I am sorry but I cannot cooperate with you on this matter.
Best wishes,
Crystal
"
